local_x,local_y,road_z,lanelet_id
-2.239325401394330015e+02,8.683153315489566637e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.239774291587081052e+02,8.978649371237709431e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.240223331265430602e+02,9.274145404266585047e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.240672352162982577e+02,9.569641440151931988e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.241121261743592186e+02,9.865137492953904541e+01,0.000000000000000000e+00,5.100000000000000000e+02
-2.241570301822047782e+02,1.016063352592622522e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.242019238675740098e+02,1.045612957458457686e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.242468257989374933e+02,1.075162561071319374e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.242917201936447213e+02,1.104712165829462975e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.243366243558704980e+02,1.134261769103303124e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.243815199749971612e+02,1.163811373675162315e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.244264169044982964e+02,1.193360978048038561e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.244713193643568161e+02,1.222910581580327403e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.245162097165448358e+02,1.252460186952646950e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.245611132183131531e+02,1.282009790326337111e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.246060029601757151e+02,1.311559395791381348e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.246509087106501568e+02,1.341108998823489742e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.246958000339239732e+02,1.370658604048241784e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.247407044287019175e+02,1.400208207286602828e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.247855954314797486e+02,1.429757812560055754e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.248304972450590071e+02,1.459307416190721938e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.248753957701898116e+02,1.488857020321157734e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.249202898768753300e+02,1.518406625122925675e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.249655484239127929e+02,1.547956174175924957e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.250112831089760164e+02,1.577505650074367622e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.250570186373475963e+02,1.607055125842187806e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.251030890403644094e+02,1.636604549421937236e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.251496663309191604e+02,1.666153893705721316e+02,0.000000000000000000e+00,5.100000000000000000e+02
-2.251957684999999856e+02,1.695406499999999994e+02,-2.449999999999999956e-01,5.100000000000000000e+02
-1.917676260000000070e+02,-3.921485500000000179e+00,-2.626000000000000001e-01,6.890000000000000000e+02
-1.940366015335370662e+02,-3.934254381329933992e+00,0.000000000000000000e+00,6.890000000000000000e+02
-1.963400713198153653e+02,-3.947217329219396831e+00,0.000000000000000000e+00,6.890000000000000000e+02
-1.986435411370190707e+02,-3.960174783910631380e+00,0.000000000000000000e+00,6.890000000000000000e+02
-2.009470122403567984e+02,-3.972900394988020167e+00,0.000000000000000000e+00,6.890000000000000000e+02
-2.032504847397240155e+02,-3.985371497285295828e+00,0.000000000000000000e+00,6.890000000000000000e+02
-2.055216750000000161e+02,-3.997661499999999979e+00,-2.539000000000000146e-01,6.890000000000000000e+02
-1.915706701363517368e+02,1.723561933305404414e+00,-2.402174566190402871e-02,7.160000000000000000e+02
-1.931619486985322283e+02,2.220213379061029446e+00,0.000000000000000000e+00,7.160000000000000000e+02
-1.946125716121666755e+02,3.040413188263904942e+00,0.000000000000000000e+00,7.160000000000000000e+02
-1.958012528412496351e+02,4.206678785745623372e+00,0.000000000000000000e+00,7.160000000000000000e+02
-1.966174340815308028e+02,5.652255743325780735e+00,-3.038012054347357521e-02,7.160000000000000000e+02
-1.927413225859250474e+02,1.534064140816618682e+00,0.000000000000000000e+00,7.190000000000000000e+02
-1.955813249474516624e+02,1.517943260787378401e+00,0.000000000000000000e+00,7.190000000000000000e+02
-1.984213310046777679e+02,1.502488213910676329e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.012613374715628538e+02,1.487107423625727121e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.041013439399497997e+02,1.471726910568519120e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.069413504056364559e+02,1.456345898953469220e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.097813568739986465e+02,1.440965381413592095e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.126213633393126372e+02,1.425584300998238962e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.154613698053688609e+02,1.410203357645392952e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.183013762737494403e+02,1.394822843465643114e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.211413817202451355e+02,1.379260908587834900e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.239813784113095778e+02,1.362203240427520834e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.268213811928608266e+02,1.346156388779227830e+00,0.000000000000000000e+00,7.190000000000000000e+02
-2.296325415000000021e+02,1.330272499999999969e+00,-2.409999999999999920e-01,7.190000000000000000e+02
-2.134931270000000154e+02,-4.040413499999999658e+00,-2.418000000000000149e-01,7.260000000000000000e+02
-2.164266078302515268e+02,-4.056140891821931049e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.193891249850296674e+02,-4.072024002319286851e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.223516312660807444e+02,-4.089718727502059892e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.253141437938882063e+02,-4.106442607734724248e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.282766563273560791e+02,-4.123165485231488958e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.312391688580386244e+02,-4.139888856149925189e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.342016813886198747e+02,-4.156612245012810014e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.371641939192502377e+02,-4.173335625167471363e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.401267064527030186e+02,-4.190058505338063455e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.430892189824006664e+02,-4.206782050726538991e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.460517319548582691e+02,-4.223425339135200574e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.490142481933696104e+02,-4.239460203662246407e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.519767613845389462e+02,-4.256066158459130833e+00,0.000000000000000000e+00,7.260000000000000000e+02
-2.549392745715729802e+02,-4.272672850951177992e+00,0.000000000000000000e+00,7.260000000000000000e+02
